split,session,gesture,feature_version,feature_index,feature_name,count,mean,std,min,q25,median,q75,max
validation,session_02,SWIPE_LEFT,features-v1,2,max_abs_ax,40,0.1287774994969368,0.0503257106341399,0.061000000685453415,0.0872500017285347,0.12045000120997429,0.15299999713897705,0.25369998812675476
validation,session_02,SWIPE_LEFT,features-v1,3,ax_half_mean_delta,40,-0.03649755020160228,0.01984504878463436,-0.08135800063610077,-0.047612499445676804,-0.036616001278162,-0.021438999567180872,0.0068060001358389854
validation,session_02,SWIPE_LEFT,features-v1,4,std_ay,40,0.011711950704921037,0.003090352925372109,0.007592171896249056,0.009159763576462865,0.010865984950214624,0.013483923161402345,0.019123610109090805
validation,session_02,SWIPE_LEFT,features-v1,5,std_az,40,0.009914062975440174,0.002021849393235354,0.006907477974891663,0.008644012734293938,0.009447204414755106,0.01062560616992414,0.017324738204479218
validation,session_02,SWIPE_LEFT,features-v1,6,rms_acc_mag_deviation,40,0.0099938397645019,0.002075242993388322,0.007119473069906235,0.00881726760417223,0.009524615947157145,0.010805830592289567,0.017489861696958542
validation,session_02,SWIPE_LEFT,features-v1,7,mean_gz,40,0.5323438010993413,1.1573050966371257,-1.3489270210266113,-0.22471550479531288,0.2232460007071495,1.311489999294281,3.186724901199341
validation,session_02,SWIPE_LEFT,features-v1,8,std_gz,40,1.835674211382866,0.7732167782598163,0.4545518159866333,1.308464527130127,1.7023276686668396,2.2876882553100586,3.4706838130950928
validation,session_02,SWIPE_LEFT,features-v1,9,rms_gyro_mag,40,2.3244130209088327,0.9142056448601319,0.8399327993392944,1.6809177100658417,2.139650821685791,2.9466333985328674,4.484859466552734
validation,session_02,SWIPE_LEFT,features-v1,10,max_gyro_mag,40,5.236470279097557,1.625302975647897,1.868209958076477,3.7186121344566345,5.08700704574585,6.413235664367676,8.352205276489258
validation,session_02,SWIPE_RIGHT,features-v1,1,std_ax,40,0.049597251741215584,0.01243486671811696,0.030089689418673515,0.039548777975142,0.04878988675773144,0.05931953713297844,0.08794382959604263
validation,session_02,SWIPE_RIGHT,features-v1,2,max_abs_ax,40,0.13805499896407128,0.03906629574150262,0.07840000092983246,0.11059999838471413,0.1318499967455864,0.16095000505447388,0.24320000410079956
validation,session_02,SWIPE_RIGHT,features-v1,3,ax_half_mean_delta,40,0.05875440016388893,0.023871261418923442,-0.013509999960660934,0.04712550062686205,0.06018400005996227,0.07150850258767605,0.11321599781513214
validation,session_02,SWIPE_RIGHT,features-v1,4,std_ay,40,0.010936094750650226,0.003146972828064088,0.006998162250965834,0.009034322574734688,0.010361033026129007,0.011543164728209376,0.025219060480594635
validation,session_02,SWIPE_RIGHT,features-v1,5,std_az,40,0.011060816561803221,0.002966534636524544,0.006418788805603981,0.008924063062295318,0.010547097772359848,0.012813538312911987,0.01775238662958145
validation,session_02,SWIPE_RIGHT,features-v1,6,rms_acc_mag_deviation,40,0.011255095980595797,0.0031807791021798027,0.006535752210766077,0.008792702108621597,0.010633590165525675,0.013009264366701245,0.018723802641034126
validation,session_02,SWIPE_RIGHT,features-v1,7,mean_gz,40,-0.4471556205302477,0.543527329635958,-1.475875973701477,-0.8756854981184006,-0.5351495146751404,0.025441746227443218,0.7309920191764832
validation,session_02,SWIPE_RIGHT,features-v1,8,std_gz,40,1.3978789404034615,0.5370247162856505,0.4595335125923157,1.0982008874416351,1.294062614440918,1.6343903243541718,3.3644144535064697
validation,session_02,SWIPE_RIGHT,features-v1,9,rms_gyro_mag,40,2.0164732187986374,0.9576955901119497,0.8503932952880859,1.4800547361373901,1.7689777612686157,2.2567824125289917,5.797231674194336
validation,session_02,SWIPE_RIGHT,features-v1,10,max_gyro_mag,40,5.279490792751313,3.673527555862548,2.145315170288086,3.2216485142707825,4.704378366470337,5.652904987335205,20.26249122619629
validation,session_02,ROTATE_CW,features-v1,1,std_ax,40,0.04011973906308412,0.027522859361632117,0.014431029558181763,0.026363921351730824,0.03518102690577507,0.04475037846714258,0.1914367377758026
validation,session_02,ROTATE_CW,features-v1,2,max_abs_ax,40,0.1918825015425682,0.27697138846611874,0.06239999830722809,0.08665000088512897,0.1356000006198883,0.19397500529885292,1.8545000553131104
validation,session_02,ROTATE_CW,features-v1,3,ax_half_mean_delta,40,0.03155670022097183,0.01716161424374294,-0.010532000102102757,0.02053650002926588,0.033441999927163124,0.041275499388575554,0.0947360023856163
validation,session_02,ROTATE_CW,features-v1,4,std_ay,40,0.020526680280454457,0.0042866735616585135,0.010473028756678104,0.017653014045208693,0.020553525537252426,0.023873417638242245,0.028746604919433594
validation,session_02,ROTATE_CW,features-v1,5,std_az,40,0.011402263399213552,0.00990796468391104,0.004821224603801966,0.007483018795028329,0.009519262704998255,0.010960228741168976,0.06926741451025009
validation,session_02,ROTATE_CW,features-v1,6,rms_acc_mag_deviation,40,0.013761266728397458,0.022182022747870487,0.004815282765775919,0.007740829256363213,0.00956655154004693,0.011238628067076206,0.15029262006282806
validation,session_02,ROTATE_CW,features-v1,7,mean_gz,40,-23.719889402389526,5.154415571649558,-31.548851013183594,-28.205688953399658,-24.36828327178955,-19.293972492218018,-13.104734420776367
validation,session_02,ROTATE_CW,features-v1,8,std_gz,40,27.27043902873993,8.848717502957744,12.946605682373047,21.218339443206787,26.19541072845459,31.069962978363037,51.89052963256836
validation,session_02,ROTATE_CW,features-v1,9,rms_gyro_mag,40,36.964649534225465,7.1512718542488996,19.75811195373535,32.621705055236816,36.93643760681152,41.26345634460449,55.42023468017578
validation,session_02,ROTATE_CW,features-v1,10,max_gyro_mag,40,62.24750566482544,12.582597804085474,33.65592575073242,53.241562843322754,62.21871757507324,71.53791236877441,88.84148406982422
validation,session_02,SHAKE,features-v1,1,std_ax,40,0.15862902905791998,0.03413607826304494,0.0827052891254425,0.13824213668704033,0.15709806233644485,0.1767527125775814,0.25640666484832764
validation,session_02,SHAKE,features-v1,2,max_abs_ax,40,0.4521274983882904,0.2580689237124757,0.21619999408721924,0.32212500274181366,0.38374999165534973,0.4870250076055527,1.452299952507019
validation,session_02,SHAKE,features-v1,3,ax_half_mean_delta,40,0.03313370006508194,0.03716041964442574,-0.05410800129175186,0.00994849984999746,0.03564300015568733,0.05714300088584423,0.12067200243473053
validation,session_02,SHAKE,features-v1,4,std_ay,40,0.04919163344893605,0.030582486829264625,0.015418617986142635,0.025783237535506487,0.03365941718220711,0.08066940493881702,0.12427964806556702
validation,session_02,SHAKE,features-v1,5,std_az,40,0.022884594276547432,0.010006517249486301,0.012526999227702618,0.016672993078827858,0.020091515965759754,0.024626815225929022,0.06621001660823822
validation,session_02,SHAKE,features-v1,6,rms_acc_mag_deviation,40,0.02866348179522902,0.015677983642171614,0.014680379070341587,0.020685050170868635,0.026097089052200317,0.028954377863556147,0.09456703066825867
validation,session_02,SHAKE,features-v1,7,mean_gz,40,0.30421367089729756,0.9811769889596924,-3.517174005508423,-0.0931675024330616,0.2606484889984131,0.7139497697353363,2.6441969871520996
validation,session_02,SHAKE,features-v1,8,std_gz,40,5.68570306301117,3.7395655993035923,1.6973025798797607,2.7962613105773926,4.231407642364502,8.22393798828125,16.75470542907715
validation,session_02,SHAKE,features-v1,9,rms_gyro_mag,40,7.065550392866134,3.160450009644128,3.2940056324005127,4.7630956172943115,5.9406516551971436,8.558926343917847,16.861495971679688
validation,session_02,SHAKE,features-v1,10,max_gyro_mag,40,18.640567779541016,8.54592093948751,8.328054428100586,12.918803691864014,16.861754417419434,21.673584461212158,49.883487701416016
